ID,Class
0.wav,siren
1.wav,street_music
2.wav,drilling
3.wav,siren
4.wav,dog_bark
6.wav,children_playing
10.wav,street_music
11.wav,drilling
12.wav,gun_shot
15.wav,dog_bark
17.wav,engine_idling
18.wav,siren
19.wav,gun_shot
20.wav,engine_idling
22.wav,air_conditioner
24.wav,air_conditioner
26.wav,engine_idling
27.wav,siren
32.wav,children_playing
33.wav,jackhammer
35.wav,gun_shot
36.wav,siren
37.wav,jackhammer
38.wav,street_music
40.wav,jackhammer
42.wav,engine_idling
43.wav,siren
44.wav,children_playing
45.wav,jackhammer
46.wav,engine_idling
47.wav,air_conditioner
48.wav,car_horn
49.wav,drilling
50.wav,siren
52.wav,gun_shot
54.wav,children_playing
56.wav,children_playing
57.wav,drilling
59.wav,gun_shot
60.wav,siren
61.wav,car_horn
63.wav,drilling
65.wav,street_music
66.wav,jackhammer
67.wav,children_playing
68.wav,dog_bark
71.wav,dog_bark
72.wav,street_music
74.wav,street_music
76.wav,jackhammer
77.wav,air_conditioner
78.wav,dog_bark
79.wav,jackhammer
80.wav,gun_shot
81.wav,jackhammer
82.wav,street_music
83.wav,car_horn
84.wav,street_music
87.wav,children_playing
88.wav,car_horn
90.wav,siren
91.wav,jackhammer
92.wav,siren
93.wav,street_music
97.wav,dog_bark
99.wav,jackhammer
100.wav,air_conditioner
101.wav,drilling
103.wav,air_conditioner
104.wav,jackhammer
105.wav,street_music
113.wav,street_music
114.wav,air_conditioner
116.wav,drilling
117.wav,engine_idling
118.wav,street_music
119.wav,drilling
120.wav,street_music
121.wav,jackhammer
123.wav,drilling
125.wav,engine_idling
128.wav,jackhammer
130.wav,drilling
131.wav,car_horn
132.wav,street_music
134.wav,children_playing
135.wav,engine_idling
136.wav,drilling
137.wav,jackhammer
138.wav,drilling
139.wav,dog_bark
140.wav,jackhammer
142.wav,jackhammer
146.wav,drilling
148.wav,car_horn
149.wav,siren
152.wav,children_playing
153.wav,jackhammer
159.wav,siren
160.wav,dog_bark
162.wav,siren
163.wav,dog_bark
164.wav,dog_bark
165.wav,air_conditioner
167.wav,dog_bark
168.wav,drilling
170.wav,dog_bark
171.wav,engine_idling
172.wav,children_playing
174.wav,children_playing
175.wav,gun_shot
176.wav,car_horn
178.wav,jackhammer
179.wav,drilling
182.wav,siren
184.wav,jackhammer
185.wav,street_music
186.wav,engine_idling
187.wav,drilling
188.wav,engine_idling
189.wav,children_playing
192.wav,air_conditioner
193.wav,air_conditioner
196.wav,dog_bark
197.wav,children_playing
200.wav,jackhammer
202.wav,gun_shot
208.wav,drilling
211.wav,siren
212.wav,engine_idling
213.wav,siren
214.wav,street_music
215.wav,dog_bark
216.wav,drilling
217.wav,dog_bark
218.wav,dog_bark
219.wav,drilling
221.wav,dog_bark
222.wav,jackhammer
223.wav,children_playing
224.wav,dog_bark
226.wav,air_conditioner
227.wav,engine_idling
228.wav,engine_idling
229.wav,children_playing
230.wav,street_music
232.wav,jackhammer
233.wav,children_playing
235.wav,engine_idling
236.wav,dog_bark
239.wav,drilling
242.wav,engine_idling
245.wav,dog_bark
246.wav,siren
247.wav,street_music
248.wav,siren
249.wav,siren
250.wav,children_playing
251.wav,jackhammer
252.wav,dog_bark
253.wav,siren
255.wav,children_playing
258.wav,jackhammer
260.wav,children_playing
261.wav,gun_shot
263.wav,jackhammer
264.wav,air_conditioner
268.wav,jackhammer
269.wav,jackhammer
270.wav,drilling
271.wav,drilling
272.wav,drilling
275.wav,jackhammer
276.wav,dog_bark
277.wav,children_playing
278.wav,jackhammer
280.wav,street_music
282.wav,street_music
285.wav,jackhammer
286.wav,siren
288.wav,engine_idling
295.wav,gun_shot
299.wav,children_playing
300.wav,car_horn
301.wav,children_playing
303.wav,drilling
304.wav,dog_bark
305.wav,children_playing
306.wav,children_playing
307.wav,drilling
308.wav,street_music
309.wav,siren
310.wav,street_music
311.wav,gun_shot
312.wav,air_conditioner
313.wav,dog_bark
314.wav,street_music
315.wav,jackhammer
316.wav,jackhammer
317.wav,street_music
318.wav,car_horn
319.wav,street_music
322.wav,siren
323.wav,jackhammer
324.wav,air_conditioner
326.wav,jackhammer
327.wav,dog_bark
328.wav,air_conditioner
329.wav,car_horn
330.wav,street_music
331.wav,dog_bark
332.wav,children_playing
333.wav,drilling
334.wav,jackhammer
335.wav,air_conditioner
336.wav,drilling
337.wav,dog_bark
338.wav,dog_bark
339.wav,street_music
342.wav,children_playing
343.wav,siren
346.wav,car_horn
347.wav,siren
348.wav,children_playing
349.wav,car_horn
350.wav,air_conditioner
351.wav,drilling
352.wav,engine_idling
353.wav,engine_idling
354.wav,street_music
355.wav,drilling
356.wav,dog_bark
357.wav,drilling
358.wav,siren
359.wav,air_conditioner
360.wav,children_playing
361.wav,children_playing
363.wav,jackhammer
364.wav,dog_bark
365.wav,car_horn
366.wav,engine_idling
367.wav,gun_shot
368.wav,engine_idling
369.wav,jackhammer
370.wav,dog_bark
371.wav,siren
372.wav,children_playing
374.wav,dog_bark
376.wav,drilling
377.wav,car_horn
378.wav,jackhammer
380.wav,drilling
381.wav,jackhammer
382.wav,engine_idling
383.wav,gun_shot
385.wav,siren
386.wav,engine_idling
388.wav,siren
391.wav,siren
392.wav,street_music
394.wav,street_music
395.wav,street_music
396.wav,siren
397.wav,siren
400.wav,air_conditioner
401.wav,children_playing
402.wav,jackhammer
406.wav,air_conditioner
407.wav,air_conditioner
408.wav,engine_idling
410.wav,air_conditioner
411.wav,children_playing
412.wav,engine_idling
413.wav,dog_bark
414.wav,jackhammer
417.wav,jackhammer
418.wav,gun_shot
419.wav,car_horn
423.wav,children_playing
425.wav,air_conditioner
426.wav,dog_bark
427.wav,siren
428.wav,drilling
429.wav,air_conditioner
430.wav,siren
435.wav,street_music
436.wav,air_conditioner
437.wav,engine_idling
438.wav,children_playing
440.wav,children_playing
442.wav,dog_bark
444.wav,car_horn
445.wav,jackhammer
446.wav,siren
447.wav,engine_idling
449.wav,dog_bark
450.wav,street_music
452.wav,jackhammer
453.wav,dog_bark
454.wav,street_music
455.wav,siren
456.wav,drilling
457.wav,children_playing
459.wav,engine_idling
461.wav,drilling
462.wav,air_conditioner
464.wav,street_music
467.wav,siren
468.wav,siren
470.wav,drilling
471.wav,air_conditioner
472.wav,gun_shot
473.wav,children_playing
474.wav,gun_shot
475.wav,dog_bark
477.wav,jackhammer
479.wav,street_music
480.wav,air_conditioner
482.wav,dog_bark
484.wav,children_playing
485.wav,children_playing
486.wav,engine_idling
488.wav,car_horn
489.wav,children_playing
491.wav,jackhammer
493.wav,car_horn
495.wav,street_music
497.wav,drilling
498.wav,street_music
500.wav,jackhammer
501.wav,jackhammer
506.wav,drilling
507.wav,dog_bark
509.wav,children_playing
511.wav,children_playing
512.wav,engine_idling
513.wav,jackhammer
515.wav,street_music
516.wav,dog_bark
519.wav,engine_idling
520.wav,siren
522.wav,children_playing
523.wav,gun_shot
524.wav,siren
525.wav,children_playing
527.wav,street_music
528.wav,dog_bark
532.wav,siren
533.wav,drilling
534.wav,air_conditioner
537.wav,jackhammer
538.wav,street_music
540.wav,dog_bark
542.wav,air_conditioner
543.wav,engine_idling
544.wav,engine_idling
547.wav,street_music
549.wav,street_music
551.wav,car_horn
554.wav,drilling
555.wav,engine_idling
556.wav,jackhammer
557.wav,air_conditioner
559.wav,engine_idling
560.wav,children_playing
561.wav,air_conditioner
562.wav,siren
564.wav,dog_bark
565.wav,children_playing
566.wav,children_playing
567.wav,air_conditioner
568.wav,drilling
569.wav,jackhammer
570.wav,drilling
571.wav,car_horn
572.wav,children_playing
573.wav,drilling
575.wav,siren
576.wav,street_music
578.wav,drilling
579.wav,siren
580.wav,street_music
583.wav,dog_bark
584.wav,gun_shot
585.wav,siren
586.wav,engine_idling
587.wav,engine_idling
589.wav,dog_bark
590.wav,street_music
593.wav,children_playing
594.wav,street_music
597.wav,jackhammer
598.wav,siren
599.wav,jackhammer
600.wav,street_music
603.wav,street_music
604.wav,dog_bark
605.wav,gun_shot
606.wav,children_playing
607.wav,children_playing
610.wav,children_playing
611.wav,drilling
612.wav,drilling
613.wav,siren
614.wav,jackhammer
615.wav,children_playing
619.wav,street_music
620.wav,children_playing
621.wav,street_music
622.wav,dog_bark
623.wav,engine_idling
624.wav,dog_bark
629.wav,siren
630.wav,dog_bark
631.wav,engine_idling
633.wav,engine_idling
635.wav,drilling
636.wav,children_playing
639.wav,drilling
642.wav,street_music
643.wav,siren
645.wav,car_horn
646.wav,street_music
648.wav,street_music
651.wav,siren
652.wav,car_horn
654.wav,siren
655.wav,jackhammer
656.wav,children_playing
657.wav,air_conditioner
658.wav,dog_bark
659.wav,air_conditioner
660.wav,drilling
661.wav,engine_idling
662.wav,children_playing
663.wav,siren
664.wav,jackhammer
665.wav,air_conditioner
666.wav,engine_idling
669.wav,siren
670.wav,street_music
671.wav,dog_bark
673.wav,dog_bark
676.wav,jackhammer
677.wav,drilling
679.wav,engine_idling
683.wav,siren
684.wav,drilling
685.wav,engine_idling
686.wav,siren
687.wav,siren
688.wav,drilling
689.wav,air_conditioner
690.wav,street_music
691.wav,engine_idling
692.wav,children_playing
693.wav,air_conditioner
694.wav,engine_idling
695.wav,street_music
697.wav,air_conditioner
698.wav,children_playing
699.wav,street_music
702.wav,jackhammer
703.wav,street_music
704.wav,street_music
705.wav,drilling
709.wav,drilling
710.wav,street_music
712.wav,children_playing
713.wav,drilling
714.wav,engine_idling
716.wav,drilling
717.wav,children_playing
719.wav,jackhammer
720.wav,jackhammer
721.wav,dog_bark
722.wav,children_playing
724.wav,gun_shot
726.wav,children_playing
727.wav,street_music
728.wav,siren
729.wav,street_music
730.wav,jackhammer
732.wav,gun_shot
733.wav,dog_bark
734.wav,drilling
735.wav,jackhammer
737.wav,siren
738.wav,engine_idling
739.wav,dog_bark
740.wav,jackhammer
742.wav,siren
744.wav,street_music
746.wav,air_conditioner
748.wav,street_music
749.wav,engine_idling
750.wav,jackhammer
751.wav,jackhammer
752.wav,car_horn
753.wav,street_music
754.wav,drilling
755.wav,jackhammer
757.wav,siren
758.wav,street_music
760.wav,children_playing
761.wav,siren
764.wav,dog_bark
765.wav,air_conditioner
766.wav,jackhammer
770.wav,air_conditioner
771.wav,street_music
772.wav,dog_bark
773.wav,air_conditioner
776.wav,air_conditioner
778.wav,dog_bark
780.wav,air_conditioner
783.wav,dog_bark
784.wav,children_playing
785.wav,dog_bark
787.wav,jackhammer
790.wav,gun_shot
791.wav,street_music
792.wav,street_music
794.wav,drilling
796.wav,dog_bark
798.wav,street_music
799.wav,children_playing
801.wav,drilling
802.wav,air_conditioner
803.wav,drilling
804.wav,dog_bark
807.wav,gun_shot
809.wav,car_horn
810.wav,gun_shot
811.wav,air_conditioner
812.wav,dog_bark
813.wav,street_music
816.wav,air_conditioner
817.wav,drilling
819.wav,air_conditioner
820.wav,engine_idling
821.wav,children_playing
824.wav,car_horn
825.wav,jackhammer
826.wav,engine_idling
829.wav,air_conditioner
830.wav,street_music
832.wav,engine_idling
833.wav,children_playing
834.wav,engine_idling
835.wav,siren
838.wav,engine_idling
839.wav,drilling
840.wav,drilling
841.wav,dog_bark
843.wav,siren
844.wav,drilling
845.wav,engine_idling
848.wav,car_horn
849.wav,street_music
850.wav,siren
851.wav,drilling
853.wav,children_playing
854.wav,gun_shot
855.wav,air_conditioner
857.wav,dog_bark
858.wav,engine_idling
859.wav,street_music
860.wav,engine_idling
863.wav,jackhammer
864.wav,car_horn
865.wav,engine_idling
867.wav,air_conditioner
868.wav,siren
869.wav,engine_idling
870.wav,air_conditioner
871.wav,street_music
872.wav,engine_idling
874.wav,children_playing
875.wav,jackhammer
876.wav,engine_idling
878.wav,dog_bark
881.wav,children_playing
882.wav,car_horn
883.wav,engine_idling
884.wav,car_horn
885.wav,jackhammer
886.wav,dog_bark
887.wav,drilling
889.wav,gun_shot
891.wav,children_playing
892.wav,car_horn
893.wav,children_playing
894.wav,engine_idling
896.wav,engine_idling
898.wav,drilling
899.wav,siren
900.wav,air_conditioner
901.wav,dog_bark
904.wav,dog_bark
905.wav,dog_bark
906.wav,dog_bark
907.wav,car_horn
911.wav,dog_bark
912.wav,siren
913.wav,jackhammer
914.wav,car_horn
915.wav,dog_bark
916.wav,engine_idling
919.wav,drilling
921.wav,street_music
922.wav,siren
923.wav,siren
925.wav,street_music
926.wav,street_music
927.wav,car_horn
928.wav,car_horn
929.wav,dog_bark
930.wav,dog_bark
932.wav,engine_idling
933.wav,engine_idling
937.wav,engine_idling
938.wav,street_music
941.wav,jackhammer
943.wav,siren
945.wav,jackhammer
946.wav,street_music
948.wav,drilling
951.wav,dog_bark
952.wav,dog_bark
953.wav,street_music
954.wav,car_horn
955.wav,engine_idling
956.wav,jackhammer
957.wav,children_playing
959.wav,drilling
963.wav,gun_shot
964.wav,dog_bark
965.wav,air_conditioner
971.wav,jackhammer
972.wav,engine_idling
973.wav,children_playing
975.wav,gun_shot
977.wav,siren
978.wav,children_playing
979.wav,drilling
980.wav,jackhammer
985.wav,air_conditioner
986.wav,jackhammer
987.wav,siren
990.wav,drilling
991.wav,street_music
995.wav,drilling
996.wav,street_music
1000.wav,street_music
1001.wav,air_conditioner
1003.wav,dog_bark
1004.wav,air_conditioner
1006.wav,jackhammer
1007.wav,car_horn
1008.wav,car_horn
1014.wav,children_playing
1015.wav,street_music
1017.wav,siren
1018.wav,street_music
1021.wav,dog_bark
1022.wav,children_playing
1024.wav,children_playing
1025.wav,jackhammer
1026.wav,gun_shot
1027.wav,children_playing
1028.wav,engine_idling
1029.wav,street_music
1030.wav,jackhammer
1032.wav,street_music
1034.wav,dog_bark
1036.wav,engine_idling
1038.wav,dog_bark
1040.wav,children_playing
1042.wav,jackhammer
1043.wav,air_conditioner
1044.wav,street_music
1045.wav,engine_idling
1047.wav,car_horn
1048.wav,air_conditioner
1049.wav,drilling
1051.wav,children_playing
1052.wav,drilling
1054.wav,children_playing
1055.wav,jackhammer
1056.wav,children_playing
1058.wav,jackhammer
1059.wav,gun_shot
1061.wav,street_music
1062.wav,jackhammer
1063.wav,air_conditioner
1066.wav,air_conditioner
1068.wav,siren
